,itemA,itemB,freqAB,supportAB,freqA,supportA,freqB,supportB,confidenceAtoB,confidenceBtoA,lift
4800,packaged meat,fresh vegetables,31136,1.0181398673566753,33581,1.0980907915501192,3410786,111.53189894726378,0.9271909710848396,0.009128687639740517,0.008313235763368901
4803,soy lactosefree,fresh vegetables,577508,18.88437559472697,634898,20.7610150791694,3410786,111.53189894726378,0.9096075275083557,0.169318157163774,0.008155581820932237
4744,latino foods,fresh vegetables,67553,2.2089671910182904,74841,2.4472830746672964,3410786,111.53189894726378,0.9026202215363237,0.01980569874509864,0.008092933322717964
4746,asian foods,fresh vegetables,148348,4.850944663496533,166161,5.4334255684690556,3410786,111.53189894726378,0.892796745325317,0.0434937870625715,0.008004855595146486
4329,energy granola bars,energy granola bars,403054,13.179770879290128,455041,14.879733536159073,455041,14.879733536159073,0.8857531519137837,0.8857531519137837,0.05952748748902828
4652,yogurt,yogurt,1280674,41.877738196529506,1448432,47.36338528889915,1448432,47.36338528889915,0.8841795817822307,0.8841795817822307,0.018667997998645193
4778,tortillas flat bread,fresh vegetables,167464,5.47603336160773,192875,6.306967077223109,3410786,111.53189894726378,0.8682514581983151,0.049098360319292975,0.007784781451706969
10775,beers coolers,beers coolers,41288,1.3501078765230732,47578,1.5557893952047759,47578,1.5557893952047759,0.8677960401866407,0.8677960401866407,0.5577850336693031
4781,frozen produce,fresh vegetables,448571,14.668166059868037,521055,17.038375789617564,3410786,111.53189894726378,0.8608899252478145,0.13151543368595978,0.00771877761764707
4763,packaged seafood,fresh vegetables,17823,0.5828079026174854,20824,0.68093989587087,3410786,111.53189894726378,0.8558874375720322,0.00522548175112716,0.007673925089150738
4740,spices seasonings,fresh vegetables,180843,5.913523510803675,211542,6.917373581075468,3410786,111.53189894726378,0.8548798820092466,0.053020916586382145,0.007664891300859711
4805,milk,fresh vegetables,755312,24.698524521226396,883960,28.9052838241459,3410786,111.53189894726378,0.8544640028960585,0.22144807677761078,0.0076611625101091416
5054,yogurt,fresh fruits,1237349,40.46102089972748,1448432,47.36338528889915,3626997,118.60194772877246,0.85426792559126,0.3411497169697135,0.007202815315856885
4792,butter,fresh vegetables,214438,7.012072099056743,252881,8.269149145587853,3410786,111.53189894726378,0.8479798798644422,0.06287055241812298,0.007603025572669547
4780,frozen breads doughs,fresh vegetables,33922,1.1092414112433562,40077,1.3105084617180587,3410786,111.53189894726378,0.8464206402674851,0.009945508161461903,0.007589045360625507
5078,eggs,fresh fruits,378759,12.385330100852613,450178,14.720714581413585,3626997,118.60194772877246,0.8413538644713868,0.10442771251258272,0.007093929573529905
4791,oils vinegars,fresh vegetables,202463,6.620492419213598,243648,7.9672322199935515,3410786,111.53189894726378,0.8309651628578935,0.05935963147497381,0.0074504708581246614
5071,soy lactosefree,fresh fruits,524504,17.15115727736529,634898,20.7610150791694,3626997,118.60194772877246,0.8261232512939086,0.14461109286828747,0.006965511672566687
4769,dry pasta,fresh vegetables,218968,7.160202032224965,266292,8.70768568724768,3410786,111.53189894726378,0.8222853108617608,0.06419869203169007,0.007372646916471551
1677,frozen meals,frozen meals,319453,10.446037867635278,389178,12.726028947139522,389178,12.726028947139522,0.8208403352707503,0.8208403352707503,0.06450090115937177
5076,packaged vegetables fruits,fresh fruits,1434008,46.89172388580457,1759552,57.53693601898679,3626997,118.60194772877246,0.8149847233841341,0.39537060548988595,0.0068715964534402105
4759,pickled goods olives,fresh vegetables,91507,2.992257349762567,112381,3.6748322338582518,3410786,111.53189894726378,0.8142568583657379,0.02682871338160764,0.007300663451903991
4756,soup broth bouillon,fresh vegetables,280599,9.17552121789619,345630,11.302019602854822,3410786,111.53189894726378,0.811847929867199,0.0822681340899136,0.007279064891122041
5066,fresh vegetables,fresh fruits,2757320,90.16371464092715,3410786,111.53189894726378,3626997,118.60194772877246,0.808411902710988,0.760221196764155,0.006816177290441493
4806,bread,fresh vegetables,468385,15.316079193597648,582711,19.054512469401192,3410786,111.53189894726378,0.8038032575324648,0.1373246518544406,0.007206935998754323
4807,packaged cheese,fresh vegetables,771614,25.231596082045016,976939,31.945675227247012,3410786,111.53189894726378,0.7898282287839875,0.22622762026113627,0.007081635265238748
4786,yogurt,fresh vegetables,1141613,37.33047624591008,1448432,47.36338528889915,3410786,111.53189894726378,0.7881716228307576,0.33470672155919484,0.007066782062084615
4776,pasta sauce,fresh vegetables,170281,5.568148598193796,218021,7.129235355246971,3410786,111.53189894726378,0.7810302677265034,0.04992426965514694,0.007002752352453015
4802,fresh dips tapenades,fresh vegetables,276271,9.03399663715622,354614,11.595794287089545,3410786,111.53189894726378,0.7790752762158291,0.08099921836198459,0.006985223811030092
4762,specialty cheeses,fresh vegetables,63855,2.0880434619109876,82217,2.6884765375919764,3410786,111.53189894726378,0.7766641935366165,0.018721491175347854,0.006963605935767764
4775,hot dogs bacon sausage,fresh vegetables,235044,7.685883446267421,304295,9.950374837400421,3410786,111.53189894726378,0.7724214988744476,0.06891197512831354,0.006925565745452569
4718,frozen vegan vegetarian,fresh vegetables,76538,2.5027745750175105,99106,3.2407428601699215,3410786,111.53189894726378,0.7722842209351601,0.022439988905783005,0.0069243349053020545
4804,other creams cheeses,fresh vegetables,236762,7.742061641672057,307168,10.044321260798279,3410786,111.53189894726378,0.770789926033962,0.06941567134378997,0.006910936990308206
4720,missing,fresh vegetables,53025,1.7339050124161006,68958,2.254910360135586,3410786,111.53189894726378,0.7689463151483513,0.015546269979998745,0.0068944070925568675
4799,lunch meat,fresh vegetables,301788,9.868396527808207,394101,12.887009887754788,3410786,111.53189894726378,0.7657630911872845,0.08848048514330714,0.006865866163987437
5045,fresh herbs,fresh fruits,288682,9.43983341431975,377003,12.327909314397118,3626997,118.60194772877246,0.7657286546791404,0.07959256652266324,0.006456290721550917
4736,canned meat seafood,fresh vegetables,50967,1.6666088970827233,66735,2.18221878366032,3410786,111.53189894726378,0.7637221847606205,0.014942889996616616,0.006847567305580758
4682,indian foods,fresh vegetables,12050,0.39403216218036796,15879,0.5192395604366857,3410786,111.53189894726378,0.7588639083065684,0.0035329100095989603,0.006804007781355772
5074,bread,fresh fruits,441283,14.42985017621903,582711,19.054512469401192,3626997,118.60194772877246,0.7572930663742405,0.12166621588052044,0.006385165512678369
5013,bulk grains rice dried goods,fresh fruits,12730,0.41626800203784936,17173,0.5615530556948929,3626997,118.60194772877246,0.7412799161474408,0.0035097906063887014,0.0062501495999260775
5077,seafood counter,fresh fruits,21767,0.7117757737908772,29443,0.9627791660644459,3626997,118.60194772877246,0.7392928709710289,0.006001383513689148,0.006233395699889326
5065,bulk dried fruits vegetables,fresh fruits,12649,0.41361932111364935,17142,0.5605393629955077,3626997,118.60194772877246,0.7378952280947382,0.0034874580817133294,0.006221611383501142
5038,refrigerated,fresh fruits,417488,13.651759280029665,572424,18.718129992027794,3626997,118.60194772877246,0.7293335010411864,0.11510569211940347,0.006149422627603715
4704,baby food formula,fresh vegetables,277560,9.076146633591945,381617,12.478786027783027,3410786,111.53189894726378,0.7273260887224626,0.08137713711736826,0.006521238278802803
4972,baby food formula,fresh fruits,276603,9.04485295896899,381617,12.478786027783027,3626997,118.60194772877246,0.7248183388056613,0.07626226324422106,0.0061113527449248
4685,kosher foods,fresh vegetables,8468,0.27690160575463535,11734,0.3836990365995384,3410786,111.53189894726378,0.7216635418442133,0.002482712195957178,0.0064704676299418284
4749,marinades meat preparation,fresh vegetables,44996,1.4713586032753392,62356,2.0390265149310394,3410786,111.53189894726378,0.7215985630893579,0.013192267119660981,0.006469885027516256
5064,poultry counter,fresh fruits,92891,3.037513823825441,128865,4.2138551518151965,3626997,118.60194772877246,0.7208396383812518,0.025610994439752777,0.006077806074734288
4771,condiments,fresh vegetables,159100,5.202532531360709,221399,7.239695159715459,3410786,111.53189894726378,0.7186120985189636,0.04664613962881283,0.006443108252453845
4998,tofu meat alternatives,fresh fruits,92594,3.027801993770041,129151,4.223207284461138,3626997,118.60194772877246,0.7169437325301391,0.02552910851594308,0.006044957492348254
4801,cream,fresh vegetables,221873,7.255194848086704,315485,10.316285202113974,3410786,111.53189894726378,0.7032759085217998,0.06505040187217843,0.006305603286234133
5009,granola,fresh fruits,71397,2.3346650857420523,101724,3.3263508436212246,3626997,118.60194772877246,0.7018697652471392,0.019684879805525066,0.005917860361384839
4797,bulk dried fruits vegetables,fresh vegetables,12026,0.3932473678324569,17142,0.5605393629955077,3410786,111.53189894726378,0.7015517442538795,0.003525873508335029,0.006290144352205443
5036,frozen breakfast,fresh fruits,162824,5.324306454344916,232311,7.596514989899044,3626997,118.60194772877246,0.7008880337134272,0.04489223454003409,0.005909582828405726
4768,frozen breakfast,fresh vegetables,161978,5.2966424535810495,232311,7.596514989899044,3410786,111.53189894726378,0.6972463637107154,0.04748993340537929,0.006251542117474374
4770,refrigerated,fresh vegetables,398879,13.043249362518091,572424,18.718129992027794,3410786,111.53189894726378,0.6968243819266838,0.11694635781898953,0.006247758609903765
5048,frozen breads doughs,fresh fruits,27825,0.9098709471094389,40077,1.3105084617180587,3626997,118.60194772877246,0.6942884946478031,0.007671635791262028,0.0058539383875512085
5069,cream,fresh fruits,218949,7.159580736699535,315485,10.316285202113974,3626997,118.60194772877246,0.6940076390319667,0.06036646845861743,0.005851570335245032
4751,baking ingredients,fresh vegetables,225258,7.365883550906667,325130,10.63167443068075,3410786,111.53189894726378,0.6928244086980593,0.06604284173794546,0.006211894670830012
5067,lunch meat,fresh fruits,272751,8.918893466129257,394101,12.887009887754788,3626997,118.60194772877246,0.6920840089215708,0.07520022762632558,0.005835351123442583
4784,hot cereal pancake mixes,fresh vegetables,109059,3.5662036162015562,157717,5.1573087570623315,3410786,111.53189894726378,0.6914853820450554,0.03197474130596291,0.006199888897901884
5049,frozen produce,fresh fruits,354740,11.599914457416077,521055,17.038375789617564,3626997,118.60194772877246,0.6808110468184739,0.09780542967088199,0.00574030241371248
5047,breakfast bakery,fresh fruits,170009,5.559254262250803,249949,8.173273436084713,3626997,118.60194772877246,0.6801747556501526,0.046873212191793925,0.005734937483536322
4785,preserved dips spreads,fresh vegetables,73766,2.4121308278337783,108461,3.546649157032771,3410786,111.53189894726378,0.6801154331971861,0.021627273009798918,0.006097945427422237
5070,fresh dips tapenades,fresh fruits,241027,7.881526137248759,354614,11.595794287089545,3626997,118.60194772877246,0.6796883371778891,0.06645359783865275,0.005730836214699018
4737,canned fruit applesauce,fresh vegetables,58626,1.917056393359855,87027,2.8457624048191605,3410786,111.53189894726378,0.6736530042400634,0.017188413462468768,0.0060400030000259414
5005,canned fruit applesauce,fresh fruits,58589,1.915846502073492,87027,2.8457624048191605,3626997,118.60194772877246,0.6732278488285245,0.016153583805004524,0.005676364188960123
5075,packaged cheese,fresh fruits,657151,21.488682938505477,976939,31.945675227247012,3626997,118.60194772877246,0.6726632880865643,0.1811832212709302,0.0056716040585173145
4774,buns rolls,fresh vegetables,75063,2.454542422385474,112412,3.6758459265576366,3410786,111.53189894726378,0.6677489947692418,0.022007537265603883,0.005987067386748047
4725,fresh pasta,fresh vegetables,24412,0.7982666508835803,36646,1.1983155697312668,3410786,111.53189894726378,0.6661572886536047,0.0071572945356290305,0.0059727960784437765
4728,baby accessories,fresh vegetables,5404,0.17670952733798412,8120,0.2655220877099243,3410786,111.53189894726378,0.6655172413793103,0.0015843855345952518,0.005967057385923201
5001,packaged produce,fresh fruits,179597,5.87277960424129,270227,8.836359260540604,3626997,118.60194772877246,0.6646153049103163,0.04951672140892314,0.005603746967378704
5016,fruit vegetable snacks,fresh fruits,115386,3.7730950261696212,174940,5.72049680098204,3626997,118.60194772877246,0.6595747113295987,0.031813094965339093,0.005561246876298878
4782,nuts seeds dried fruit,fresh vegetables,199758,6.5320395562511155,304372,9.952892719266636,3410786,111.53189894726378,0.65629558566491,0.05856655914501818,0.005884375607871877
5056,water seltzer sparkling water,fresh fruits,539852,17.653033262854443,826611,27.029985030047815,3626997,118.60194772877246,0.6530907524821228,0.1488426927289987,0.005506576957535791
4999,energy granola bars,fresh fruits,297027,9.712712949041341,455041,14.879733536159073,3626997,118.60194772877246,0.6527477743763749,0.0818933679845889,0.005503685115434411
5058,meat counter,fresh fruits,45849,1.4992515023906798,70533,2.3064124892172524,3626997,118.60194772877246,0.6500361532899495,0.01264103609680405,0.005480821906706787
5046,tortillas flat bread,fresh fruits,125338,4.09852308243676,192875,6.306967077223109,3626997,118.60194772877246,0.6498405703175631,0.03455696268841689,0.0054791728362140035
4795,juice nectars,fresh vegetables,215221,7.037676014657343,331427,10.837584847713927,3410786,111.53189894726378,0.6493767858382088,0.06310011827185875,0.005822341338824125
5031,packaged seafood,fresh fruits,13522,0.44216621551891583,20824,0.68093989587087,3626997,118.60194772877246,0.6493469074145216,0.0037281530698812268,0.005475010485489625
5060,butter,fresh fruits,163593,5.3494525732425675,252881,8.269149145587853,3626997,118.60194772877246,0.64691692930667,0.04510425566935953,0.005454521967768072
4741,granola,fresh vegetables,65187,2.131599548220054,101724,3.3263508436212246,3410786,111.53189894726378,0.6408222248436947,0.019112016995496053,0.005745640761901651
5063,juice nectars,fresh fruits,209997,6.866852444928692,331427,10.837584847713927,3626997,118.60194772877246,0.6336146421383895,0.05789831091671705,0.0053423628723820405
5052,hot cereal pancake mixes,fresh fruits,99769,3.2624228040309657,157717,5.1573087570623315,3626997,118.60194772877246,0.6325824102664901,0.02750732906589115,0.005333659542532349
5035,canned meals beans,fresh fruits,169893,5.555461089569233,269952,8.827366825304123,3626997,118.60194772877246,0.6293452169274538,0.046841229810777346,0.0053063649373337966
5072,other creams cheeses,fresh fruits,193314,6.321322273836984,307168,10.044321260798279,3626997,118.60194772877246,0.6293429003021148,0.05329863796413396,0.005306345404557283
4750,instant foods,fresh vegetables,125120,4.091394533776568,200349,6.551365117068427,3410786,111.53189894726378,0.6245102296492621,0.03668362658929643,0.005599386682589818
4743,prepared meals,fresh vegetables,61332,2.0055419560868324,98308,3.214648448101877,3410786,111.53189894726378,0.6238759816088213,0.01798177897997705,0.005593699986259642
5011,prepared meals,fresh fruits,61192,2.0009639890573507,98308,3.214648448101877,3626997,118.60194772877246,0.6224518859095902,0.01687125740660938,0.005248243370615282
4779,breakfast bakery,fresh vegetables,155413,5.081968499662866,249949,8.173273436084713,3410786,111.53189894726378,0.6217788428839484,0.04556515712214135,0.005574896946549322
4758,frozen appetizers sides,fresh vegetables,120187,3.930086595516339,194043,6.345160402154784,3410786,111.53189894726378,0.6193833325603088,0.035237332392005834,0.00555341869372434
5051,packaged poultry,fresh fruits,72551,2.372400613970778,117846,3.85353644683051,3626997,118.60194772877246,0.6156424486193846,0.02000304935460382,0.005190829159292395
5040,grains rice dried goods,fresh fruits,88137,2.882059143410049,143790,4.701899136922416,3626997,118.60194772877246,0.6129563947423325,0.024300268238435268,0.005168181522145705
4787,spreads,fresh vegetables,176529,5.772456726766654,288170,9.423091134897646,3410786,111.53189894726378,0.6125863205746608,0.05175610548419045,0.005492476379912739
4748,fruit vegetable snacks,fresh vegetables,106678,3.488345476935875,174940,5.72049680098204,3410786,111.53189894726378,0.6097976449068252,0.031276661743070366,0.005467472989007019
4794,honeys syrups nectars,fresh vegetables,40554,1.326106249382792,66540,2.1758423295835425,3410786,111.53189894726378,0.6094679891794409,0.011889928010728319,0.005464517280994371
5030,specialty cheeses,fresh fruits,50108,1.638519799380405,82217,2.6884765375919764,3626997,118.60194772877246,0.6094603305885644,0.013815285758438732,0.005138704230914678
4788,water seltzer sparkling water,fresh vegetables,503656,16.469432587146507,826611,27.029985030047815,3410786,111.53189894726378,0.6093023199546098,0.14766567002444597,0.005463031883306402
5050,nuts seeds dried fruit,fresh fruits,184535,6.0342510413240005,304372,9.952892719266636,3626997,118.60194772877246,0.6062811296702719,0.0508781782835773,0.005111898592565778
5043,hot dogs bacon sausage,fresh fruits,181911,5.94844685928572,304295,9.950374837400421,3626997,118.60194772877246,0.5978113343958987,0.05015471476816772,0.005040484965415721
4789,crackers,fresh vegetables,272859,8.922425040694856,457258,14.95222891404736,3410786,111.53189894726378,0.5967287614432114,0.07999886243229565,0.005350296794689794
4988,missing,fresh fruits,41132,1.3450067132616512,68958,2.254910360135586,3626997,118.60194772877246,0.5964790162127673,0.011340511172190107,0.005029251438406719
4992,prepared soups salads,fresh fruits,42135,1.3778045770514362,71422,2.33548257985446,3626997,118.60194772877246,0.5899442748732884,0.01161704848391107,0.004974153343774892
4755,frozen pizza,fresh vegetables,95344,3.1177263461348548,161746,5.289056108217909,3410786,111.53189894726378,0.5894674365981228,0.027953674021178692,0.005285191430990015
5057,crackers,fresh fruits,269368,8.808270162838287,457258,14.95222891404736,3626997,118.60194772877246,0.5890941219180419,0.07426750008340233,0.00496698522409788
4734,salad dressing toppings,fresh vegetables,58309,1.9066905680145292,99143,3.2419527514562843,3410786,111.53189894726378,0.5881302764693422,0.01709547300827434,0.005273202393401649
4719,soap,fresh vegetables,37549,1.2278434570714223,63851,2.087912662853002,3410786,111.53189894726378,0.5880722306620101,0.011008899414973558,0.005272681952094005
5032,canned jarred vegetables,fresh fruits,173694,5.6797528944196545,296478,9.694760778332874,3626997,118.60194772877246,0.5858579725983041,0.04788920420943276,0.0049396994216156275
4724,prepared soups salads,fresh vegetables,41783,1.3662942599487398,71422,2.33548257985446,3410786,111.53189894726378,0.5850158214555738,0.012250255512952146,0.0052452780502929485
5012,latino foods,fresh fruits,43655,1.4275082190858062,74841,2.4472830746672964,3626997,118.60194772877246,0.5833032695982149,0.012036127959300766,0.004918159277891077
5034,cereal,fresh fruits,219416,7.174851526719304,376194,12.301455204919614,3626997,118.60194772877246,0.5832522581434046,0.060495225113227274,0.004917729171507607
4753,dish detergents,fresh vegetables,54691,1.7883828200669298,94537,3.0913376361863443,3410786,111.53189894726378,0.5785142325227159,0.01603472044273666,0.005186984512800754
4996,baby accessories,fresh fruits,4690,0.1533618954876287,8120,0.2655220877099243,3626997,118.60194772877246,0.5775862068965518,0.0012930807497221531,0.004869955493626613
5055,spreads,fresh fruits,165446,5.410045236854204,288170,9.423091134897646,3626997,118.60194772877246,0.574126383731825,0.04561514663508131,0.004840783770640756
5037,dry pasta,fresh fruits,151235,4.94534888359734,266292,8.70768568724768,3626997,118.60194772877246,0.5679291905126703,0.04169702925036883,0.0047885317348367
5061,chips pretzels,fresh fruits,408853,13.369396813604148,719983,23.543274541336753,3626997,118.60194772877246,0.5678647968077024,0.11272493470493633,0.004787988795144721
5014,asian foods,fresh fruits,94196,3.080187016493107,166161,5.4334255684690556,3626997,118.60194772877246,0.5668959623497691,0.02597079622618932,0.004779820004694932
4986,frozen vegan vegetarian,fresh fruits,56135,1.8356012799995813,99106,3.2407428601699215,3626997,118.60194772877246,0.5664137388250963,0.015476991020395108,0.004775754105829799
4793,chips pretzels,fresh vegetables,406358,13.287810901185889,719983,23.543274541336753,3410786,111.53189894726378,0.564399437208934,0.11913910752536218,0.0050604306260023605
4722,doughs gelatins bake mixes,fresh vegetables,59602,1.94897136350824,105845,3.4611065731104604,3410786,111.53189894726378,0.5631064292125277,0.01747456451386865,0.005048837458409852
4731,energy granola bars,fresh vegetables,255145,8.343181412407468,455041,14.879733536159073,3410786,111.53189894726378,0.5607077164475289,0.07480533812440886,0.005027330492352248
4721,digestion,fresh vegetables,14834,0.4850683065380563,26460,0.8652357685719947,3410786,111.53189894726378,0.5606198034769464,0.004349144156215019,0.005026542260721547
5059,oils vinegars,fresh fruits,136428,4.461163470700684,243648,7.9672322199935515,3626997,118.60194772877246,0.5599389282899921,0.0376145885976746,0.004721161321654692
5068,packaged meat,fresh fruits,18685,0.6109950996132926,33581,1.0980907915501192,3626997,118.60194772877246,0.5564158303802745,0.0051516447353003045,0.004691456093560341
4993,fresh pasta,fresh fruits,20333,0.6648843115031886,36646,1.1983155697312668,3626997,118.60194772877246,0.5548490967636305,0.005606015113880712,0.004678246077648739
5028,coffee,fresh fruits,113511,3.711782967739066,204738,6.694884383442671,3626997,118.60194772877246,0.5544207719133721,0.03129613837563141,0.004674634628946076
4773,frozen meat seafood,fresh vegetables,39224,1.2826155626027183,70944,2.31985209242523,3410786,111.53189894726378,0.5528867839422644,0.011499988565685447,0.0049572076613139055
5044,pasta sauce,fresh fruits,120460,3.9390136312238275,218021,7.129235355246971,3626997,118.60194772877246,0.5525155833612359,0.03321204842463338,0.004658570908335912
4766,cereal,fresh vegetables,207616,6.788994305663011,376194,12.301455204919614,3410786,111.53189894726378,0.551885463351356,0.06087042693385044,0.0049482297760599135
5042,buns rolls,fresh fruits,61951,2.02578311031004,112412,3.6758459265576366,3626997,118.60194772877246,0.5511066434188522,0.01708052143412305,0.004646691340003647
5033,popcorn jerky,fresh fruits,89155,2.9153475036672782,162022,5.298081243218887,3626997,118.60194772877246,0.5502647788571922,0.02458094120287389,0.0046395931044537105
5026,frozen appetizers sides,fresh fruits,106654,3.4875606825879637,194043,6.345160402154784,3626997,118.60194772877246,0.549641058940544,0.02940559366329776,0.004634334169599837
5023,frozen pizza,fresh fruits,88474,2.893078964045301,161746,5.289056108217909,3626997,118.60194772877246,0.5469934341498398,0.02439318256949206,0.004612010549782404
4757,other,fresh vegetables,19581,0.6402940886019739,35884,1.1733983491850892,3410786,111.53189894726378,0.5456749526251253,0.005740905468710145,0.004892546058801884
5027,pickled goods olives,fresh fruits,61062,1.9967130196728324,112381,3.6748322338582518,3626997,118.60194772877246,0.5433480748525107,0.016835415083056315,0.004581274466883786
4715,vitamins supplements,fresh vegetables,24180,0.7906803055204397,44622,1.4591288913537246,3410786,111.53189894726378,0.5418851687508404,0.0070892750234110265,0.004858566686890741
5018,instant foods,fresh fruits,108123,3.535596636633023,200349,6.551365117068427,3626997,118.60194772877246,0.5396732701435994,0.02981061191944741,0.004550290113091258
4997,tea,fresh fruits,133697,4.371860413861299,248088,8.112419174357106,3626997,118.60194772877246,0.5389095804714455,0.03686162409287903,0.004543851014182863
5062,honeys syrups nectars,fresh fruits,35616,1.1646348123000818,66540,2.1758423295835425,3626997,118.60194772877246,0.5352569882777276,0.009819693812815396,0.004513053946650119
4705,refrigerated pudding desserts,fresh vegetables,20020,0.6546492852158479,37614,1.2299689417636814,3410786,111.53189894726378,0.5322486308289467,0.005869614804329559,0.004772165056389944
4713,protein meal replacements,fresh vegetables,19262,0.6298628637276554,36266,1.1858896592226742,3410786,111.53189894726378,0.5311310869685105,0.005647378639410388,0.004762145108097263
4543,fresh fruits,packaged vegetables fruits,1925889,62.97611674600719,3626997,118.60194772877246,1759552,57.53693601898679,0.5309872051176221,1.0945337222202014,0.009228631933796404
5024,soup broth bouillon,fresh fruits,181479,5.934320561023319,345630,11.302019602854822,3626997,118.60194772877246,0.5250672684662788,0.05003560796989906,0.004427138664425991
5053,preserved dips spreads,fresh fruits,56870,1.8596356069043591,108461,3.546649157032771,3626997,118.60194772877246,0.5243359364195425,0.015679638003560523,0.004420972390930982
5019,baking ingredients,fresh fruits,170064,5.561052749298099,325130,10.63167443068075,3626997,118.60194772877246,0.5230646203057239,0.046888376251758686,0.0044102532068183735
5041,frozen meat seafood,fresh fruits,37103,1.213259362106074,70944,2.31985209242523,3626997,118.60194772877246,0.5229899639152008,0.010229674852226235,0.0044096237366287785
4735,frozen dessert,fresh vegetables,10044,0.328436434600798,19208,0.6280970764448555,3410786,111.53189894726378,0.5229071220324865,0.002944775778955349,0.004688408670238237
4760,coffee,fresh vegetables,106250,3.4743499777314604,204738,6.694884383442671,3410786,111.53189894726378,0.5189559339253094,0.031151177470530252,0.004652982140747824
4953,kosher foods,fresh fruits,6086,0.19901076672445805,11734,0.3836990365995384,3626997,118.60194772877246,0.5186637122890745,0.0016779721626458473,0.004373146665982183
5008,spices seasonings,fresh fruits,108875,3.5601868595342374,211542,6.917373581075468,3626997,118.60194772877246,0.5146732091026841,0.030017945975692836,0.004339500480039975
4950,indian foods,fresh fruits,8147,0.26640498135132434,15879,0.5192395604366857,3626997,118.60194772877246,0.5130675735247813,0.0022462108460525334,0.0043259624597236914
12813,tea,tea,126899,4.149567414815478,248088,8.112419174357106,248088,8.112419174357106,0.5115080132856084,0.5115080132856084,0.06305246342576282
4973,refrigerated pudding desserts,fresh fruits,19190,0.6275084806839222,37614,1.2299689417636814,3626997,118.60194772877246,0.5101823789014729,0.005290878376794908,0.004301635754483518
4542,eggs,packaged vegetables fruits,229478,7.503876557081036,450178,14.720714581413585,1759552,57.53693601898679,0.5097494768735923,0.13041842468992107,0.008859517244807378
4689,skin care,fresh vegetables,5127,0.1676516925725101,10109,0.3305619192930573,3410786,111.53189894726378,0.5071718270847759,0.0015031725825073753,0.004547325311161291
4981,protein meal replacements,fresh fruits,18273,0.5975227966408185,36266,1.1858896592226742,3626997,118.60194772877246,0.5038603650802405,0.005038052140655202,0.004248331285692752
